ASMID,SPECIESIN,STRAIN,BIOPROJECT,NCBI_TAXONID,BUSCO_LINEAGE,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,LOCUSTAG
GCA_040804115.1_ASM4080411v1,Gyromitra montana,MICH352043,PRJNA994929,44622,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra montana,F5AFAD6E
GCA_040802945.1_ASM4080294v1,Gyromitra parma,ACD0610,PRJNA994929,3063983,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra parma,F28EF405
GCA_040802985.1_ASM4080298v1,Gyromitra perlata,ACD0608,PRJNA994929,1385994,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra perlata,F8C2F75E
GCA_040803505.1_ASM4080350v1,Gyromitra recurva,ACD0538,PRJNA994929,2873843,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra recurva,FD054B29
GCA_040803245.1_ASM4080324v1,Gyromitra sichuanensis,CUP-CH002522,PRJNA994929,3063984,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra sichuanensis,FBBD7369
GCA_040802825.1_ASM4080282v1,Gyromitra sp. persicula,MICH346493,PRJNA994929,3120226,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra sp. 'persicula',F1BED1D7
GCA_040802385.1_ASM4080238v1,Gyromitra sp. 13 AD-2024,MICH346255,PRJNA994929,3120042,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra sp. 13 AD-2024,F0820830
GCA_040803605.1_ASM4080360v1,Gyromitra sp. 2 AD-2023,ACD0484,PRJNA994929,3063971,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra sp. 2 AD-2023,F401AB16
GCA_040803515.1_ASM4080351v1,Gyromitra sp. 3 AD-2023,ACD0548,PRJNA994929,3063972,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra sp. 3 AD-2023,FCA2B3E3
GCA_040803585.1_ASM4080358v1,Gyromitra sp. 4 AD-2023,ACD0514,PRJNA994929,3063973,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra sp. 4 AD-2023,F78F84DB
GCA_040802425.1_ASM4080242v1,Gyromitra sp. 6 AD-2023,ARIZ-AN044228,PRJNA994929,3063974,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra sp. 6 AD-2023,F23D2203
GCA_040803355.1_ASM4080335v1,Gyromitra sp. 8 AD-2023,MICH4601,PRJNA994929,3063975,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra sp. 8 AD-2023,F9B31F1B
GCA_040803905.1_ASM4080390v1,Gyromitra sp. 9 AD-2023,MICH352091,PRJNA994929,3063976,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra sp. 9 AD-2023,FEC8FBA9
