ASMID,SPECIESIN,STRAIN,VERSION,BIOPROJECT,NCBI_TAXONID,BUSCO_LINEAGE,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,LOCUSTAG
Colin1,Colletotrichum incanum,MAFF_238712,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum incanum,Colin1
Colny1,Colletotrichum nymphaeae,SA-01,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum nymphaeae,Colny1
Color1,Colletotrichum orchidophilum,IMI_309357,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum orchidophilum,Color1
Colorb1,Colletotrichum orbiculare,104-T,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum orbiculare,Colorb1
Colsa1,Colletotrichum salicis,CBS 607.94,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum salicis,Colsa1
Colsi1,Colletotrichum simmondsii,CBS 122122,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum simmondsii,Colsi1
Colsub1,Colletotrichum sublineola,TX430BB,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum sublineola,Colsub1
Colto1,Colletotrichum tofieldiae,0861,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum tofieldiae,Colto1
Conap1,Coniosporium apollinis,CBS 100218,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,,,,Coniosporium,Coniosporium apollinis,Conap1
Conapa1,Conocybe apala,SZMC-NL-8967,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Bolbitiaceae,Conocybe,Conocybe apala,Conapa1
Conco1,Conidiobolus coronatus,NRRL 28638,v1.0,,,fungi,Zoopagomycota,Entomophthoromycotina,Entomophthoromycetes,,Entomophthorales,Ancylistaceae,Conidiobolus,Conidiobolus coronatus,Conco1
Conioc1,Coniochaeta sp.,2T2.1,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Coniochaetales,Coniochaetaceae,Coniochaeta,Coniochaeta sp.,Conioc1
Conli1,Coniochaeta ligniaria,CBS 111746,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Coniochaetales,Coniochaetaceae,Coniochaeta,Coniochaeta ligniaria,Conli1
Conlig1,Coniochaeta ligniaria,NRRL 30616,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Coniochaetales,Coniochaetaceae,Coniochaeta,Coniochaeta ligniaria,Conlig1
Conol1,Coniophora olivacea,MUCL 20566,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Boletales,Coniophoraceae,Coniophora,Coniophora olivacea,Conol1
ConPMI546,Coniochaeta sp.,PMI_546,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Coniochaetales,Coniochaetaceae,Coniochaeta,Coniochaeta sp.,ConPMI546
Conpu1,Coniophora puteana,,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Boletales,Coniophoraceae,Coniophora,Coniophora puteana,Conpu1
Cont1119283,Clitocybe sp.,JGI1119283,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Clitocybaceae,Clitocybe,Clitocybe sp.,Cont1119283
Conth1,Conidiobolus thromboides,FSU 785,v1.0,,,fungi,Zoopagomycota,Entomophthoromycotina,Entomophthoromycetes,,Entomophthorales,Ancylistaceae,Neoconidiobolus,Neoconidiobolus thromboides,Conth1
Copang1,Coprinellus angulatus,CBS 144469,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Psathyrellaceae,Tulosesus,Tulosesus angulatus,Copang1
Copci1,Coprinopsis cinerea,Okayama 7-130,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis cinerea,Copci1
Copci_AmutBmut1,Coprinopsis cinerea,AmutBmut_pab1-1,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis cinerea,Copci_AmutBmut1
Copmar1,Coprinopsis marcescibilis,CBS 121175,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis marcescibilis,Copmar1
Copmic2,Coprinellus micaceus,FP101781,v2.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Psathyrellaceae,Coprinellus,Coprinellus micaceus,Copmic2
Copph3,Coprinopsis sp.,MPI-PUGE-AT-0042,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis sp.,Copph3
Corbr1,Beauveria brongniartii,RCEF 3172,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Cordycipitaceae,Beauveria,Beauveria brongniartii,Corbr1
Corca1,Corynespora cassiicola,CCP,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Corynesporascaceae,Corynespora,Corynespora cassiicola,Corca1
Corco1,Lecanicillium lecanii,RCEF 1005,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii,Corco1
Corfu1,Cordyceps fumosorosea,ARSEF 2679,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Cordycipitaceae,Cordyceps,Cordyceps fumosorosea,Corfu1
Corgl3,Phlegmacium glaucopus,AT_2004_276,v2.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Cortinariaceae,Phlegmacium,Phlegmacium glaucopus,Corgl3
Corma2,Corollospora maritima,CBS 119819,v2.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Microascales,Halosphaeriaceae,Corollospora,Corollospora maritima,Corma2
Cormi1,Cordyceps militaris,CM01,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Cordycipitaceae,Cordyceps,Cordyceps militaris,Cormi1
Cornip1,Boliniaceae sp.,AZ0804,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Boliniales,Boliniaceae,,Boliniaceae sp.,Cornip1
CorRAO_2017_1,Cordyceps sp.,RAO_2017,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Cordycipitaceae,Cordyceps,Cordyceps sp.,CorRAO_2017_1
Crafun1,Crassisporium funariophilum,CBS 144457,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Crassisporiaceae,Crassisporium,Crassisporium funariophilum,Crafun1
Creces1,Crepidotus cesatii,CBS 511.95,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Crepidotaceae,Crepidotus,Crepidotus cesatii,Creces1
Crevar1,Crepidotus variabilis,CBS 506.95,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Crepidotaceae,Crepidotus,Crepidotus variabilis,Crevar1
Crison1,Cristinia sonorae,KKN_215,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Stephanosporaceae,Cristinia,Cristinia sonorae,Crison1
Croqu1,Cronartium quercuum f. sp. fusiforme,G11,v1.0,,,dikarya,Basidiomycota,Pucciniomycotina,Pucciniomycetes,,Pucciniales,Coleosporiaceae,Cronartium,Cronartium quercuum,Croqu1
Crula1,Crucibulum laeve,CBS 166.37,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Nidulariaceae,Crucibulum,Crucibulum laeve,Crula1
Cryam1,Cryptococcus amylolentus,CBS 6039,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus amylolentus,Cryam1
Cryan3,Cryomyces antarcticus,CBS 116301,v3.0,,,dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,,,,Cryomyces,Cryomyces antarcticus,Cryan3
Crycu1,Cryptococcus curvatus,ATCC 20509,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Cutaneotrichosporon,Cutaneotrichosporon curvatum,Crycu1
Cryne_H99_1,Cryptococcus neoformans var. grubii,H99,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,Cryne_H99_1
Cryne_JEC21_1,Cryptococcus neoformans var. neoformans,JEC21,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,Cryne_JEC21_1
Crypa2,Cryphonectria parasitica,EP155,v2.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Diaporthales,Cryphonectriaceae,Cryphonectria,Cryphonectria parasitica,Crypa2
Crypto1,Cryptodiaporthe sp.,AZ0812,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Diaporthales,Gnomoniaceae,Cryptodiaporthe,Cryptodiaporthe sp.,Crypto1
Cryte1,Cryptococcus terricola,JCM 24523,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Tremellomycetes,,Filobasidiales,Piskurozymaceae,Solicoccozyma,Solicoccozyma terricola,Cryte1
Crywi1,Filobasidium wieringae,UCDFST 05-544,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Tremellomycetes,,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium wieringae,Crywi1
Cucbe1,Cucurbitaria berberidis,CBS 394.84,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Cucurbitariaceae,Cucurbitaria,Cucurbitaria berberidis,Cucbe1
Cunech1,Cunninghamella echinulata,NRRL 1382,v1.0,,,mucoromycota,Mucoromycota,Mucoromycotina,Mucoromycetes,,Mucorales,Cunninghamellaceae,Cunninghamella,Cunninghamella echinulata,Cunech1
Currey1,Teichospora sp.,FL1471,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Teichosporaceae,Teichospora,Teichospora sp.,Currey1
Cyastr2,Cyathus striatus,AH 40144,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Nidulariaceae,Cyathus,Cyathus striatus,Cyastr2
Cybfa1,Cyberlindnera fabianii,65,v1.0,,,dikarya,Ascomycota,Saccharomycotina,Saccharomycetes,,Phaffomycetales,Phaffomycetaceae,Cyberlindnera,Cyberlindnera fabianii,Cybfa1
Cybja1,Cyberlindnera jadinii,NRRL Y-1542,v1.0,,,dikarya,Ascomycota,Saccharomycotina,Saccharomycetes,,Phaffomycetales,Phaffomycetaceae,Cyberlindnera,Cyberlindnera jadinii,Cybja1
Cylto1,Cylindrobasidium torrendii,FP15055,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Physalacriaceae,Cylindrobasidium,Cylindrobasidium torrendii,Cylto1
Cypeu1,Cyphellophora europaea,CBS 101466,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,Cyphellophoraceae,Cyphellophora,Cyphellophora europaea,Cypeu1
Cysmur1,Cystostereum murrayi,CysMur001,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Cystostereaceae,Cystostereum,Cystostereum murrayi,Cysmur1
Cytmel1,Cytidiella melzeri,FP_102339,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Polyporales,Irpicaceae,Cytidiella,Cytidiella melzeri,Cytmel1
Dacsp1,Dacryopinax primogenitus,DJM_731_SSP1,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Dacrymycetes,,Dacrymycetales,Dacrymycetaceae,Dacryopinax,Dacryopinax primogenitus,Dacsp1
Daequ1,Daedalea quercina,,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Polyporales,Fomitopsidaceae,Fomitopsis,Fomitopsis quercina,Daequ1
DalEC12_1,Daldinia eschscholtzii,EC12,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Xylariomycetidae,Xylariales,Hypoxylaceae,Daldinia,Daldinia eschscholtzii,DalEC12_1
Debfa1,Debaryomyces fabryi,CBS 789,v1.0,,,dikarya,Ascomycota,Saccharomycotina,Pichiomycetes,,Serinales,Debaryomycetaceae,Debaryomyces,Debaryomyces fabryi,Debfa1
Debha1,Debaryomyces hansenii,CBS 767,v1.0,,,dikarya,Ascomycota,Saccharomycotina,Pichiomycetes,,Serinales,Debaryomycetaceae,Debaryomyces,Debaryomyces hansenii,Debha1
Decga1,Decorospora gaudefroyi,CBS 332.63,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Decorospora,Decorospora gaudefroyi,Decga1
Dekbr2,Dekkera bruxellensis,CBS 2499,v2.0,,,dikarya,Ascomycota,Saccharomycotina,Pichiomycetes,,Pichiales,Pichiaceae,Brettanomyces,Brettanomyces bruxellensis,Dekbr2
Delco1,Delitschia confertaspora,ATCC 74209,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Delitschiaceae,Delitschia,Delitschia confertaspora,Delco1
DelFL0756_1,Valsariales sp.,FL0756,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,,Valsariales,,,Valsariales sp.,DelFL0756_1
Delst1,Delphinella strobiligena,CBS 735.71,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Dothideales,Dothioraceae,Delphinella,Delphinella strobiligena,Delst1
Denbi1,Dendrothele bispora,CBS 962.96,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,,Dendrothele,Dendrothele bispora,Denbi1
Denmi1,Dendrothele microspora,FP_101998,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,,Dendrothele,Dendrothele microspora,Denmi1
Densp1,Dentipellis sp.,KUC8613,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Russulales,Hericiaceae,Dentipellis,Dentipellis sp.,Densp1
Diaam1,Diaporthe ampelina,UCDDA912,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Diaporthales,Diaporthaceae,Diaporthe,Diaporthe ampelina,Diaam1
Diahe1,Diaporthe helianthi,7-96,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Diaporthales,Diaporthaceae,Diaporthe,Diaporthe helianthi,Diahe1
DiaPMI573_1,Diaporthaceae sp.,PMI 573,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Diaporthales,Diaporthaceae,,Diaporthaceae sp.,DiaPMI573_1
Dicele1,Dichotomocladium elegans,RSA 919-,v1.0,,,mucoromycota,Mucoromycota,Mucoromycotina,Mucoromycetes,,Mucorales,Lichtheimiaceae,Dichotomocladium,Dichotomocladium elegans,Dicele1
Dicrob1,Dichotomocladium robustum,RSA 2353+,v1.0,,,mucoromycota,Mucoromycota,Mucoromycotina,Mucoromycetes,,Mucorales,Lichtheimiaceae,Dichotomocladium,Dichotomocladium robustum,Dicrob1
Dicsq1,Dichomitus squalens,LYAD-421_SS1,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Polyporales,Polyporaceae,Dichomitus,Dichomitus squalens,Dicsq1
Didex1,Didymella exigua,CBS 183.55,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Didymellaceae,Didymella,Didymella exigua,Didex1
Didma1,Didymella zeae-maydis,3018,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Didymellaceae,Didymella,Didymella maydis,Didma1
Didsa1,Didymocrea sadasivanii,CBS 438.65,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,,,Zopfiaceae,Didymocrea,Didymocrea sadasivanii,Didsa1
Digmar1,Digitatispora marina,008cD1.1,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Atheliales,Atheliaceae,Digitatispora,Digitatispora marina,Digmar1
DimcrSC1,Dimargaris cristalligena,RSA 468_single-cell,v1.0,,,fungi,Zoopagomycota,Kickxellomycotina,Dimargaritomycetes,,Dimargaritales,Dimargaritaceae,Dimargaris,Dimargaris cristalligena,DimcrSC1
Dipse1,Diplodia seriata,DS831,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,,Botryosphaeriales,Botryosphaeriaceae,Diplodia,Diplodia seriata,Dipse1
Disac1,Dissoconium aciculare,,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Dissoconiaceae,Dissoconium,Dissoconium aciculare,Disac1
Disdec1,Dissophora decumbens,NRRL 22416,v1.0,,,mucoromycota,Mucoromycota,Mortierellomycotina,Mortierellomycetes,,Mortierellales,Mortierellaceae,Dissophora,Dissophora decumbens,Disdec1
Disorn1,Dissophora ornata,CBS 347.77,v1.0,,,mucoromycota,Mucoromycota,Mortierellomycotina,Mortierellomycetes,,Mortierellales,Mortierellaceae,Dissophora,Dissophora ornata,Disorn1
Dotse1,Dothistroma septosporum,NZE10,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Dothistroma,Dothistroma septosporum,Dotse1
Dotsy1,Dothidotthia symphoricarpi,,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Dothidotthiaceae,Dothidotthia,Dothidotthia symphoricarpi,Dotsy1
Dreco1,Drechmeria coniospora,ARSEF 6962,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Ophiocordycipitaceae,Drechmeria,Drechmeria coniospora,Dreco1
Drest1,Drechslerella stenobrocha,248,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Orbiliomycetes,,Orbiliales,Orbiliaceae,Drechslerella,Drechslerella stenobrocha,Drest1
Earsca1,Earliella scabrosa,CIRM-BRFM_1817,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Polyporales,Polyporaceae,Earliella,Earliella scabrosa,Earsca1
Echtin1,Echinodontium tinctorium,Aho-80,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Russulales,Echinodontiaceae,Echinodontium,Echinodontium tinctorium,Echtin1
Edhae1,Edhazardia aedis,USNM 41457,v1.0,,,fungi,Microsporidia,,,,,Culicosporidae,Edhazardia,Edhazardia aedis,Edhae1
Ellano2,Ellisomyces anomalus,CBS 243.57,v2.0,,,mucoromycota,Mucoromycota,Mucoromycotina,Mucoromycetes,,Mucorales,Mucoraceae,Ellisomyces,Ellisomyces anomalus,Ellano2
Elmca1,Aporpium caryae,L-13461,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Auriculariales,Aporpiaceae,Elmerina,Elmerina caryae,Elmca1
Elsamp1,Elsinoe ampelina,CECT_20119,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Myriangiales,Elsinoaceae,Elsinoe,Elsinoe ampelina,Elsamp1
Emepa1,Emergomyces pasteurianus,UAMH 9510,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Onygenales,Ajellomycetaceae,Emergomyces,Emergomyces pasteurianus,Emepa1
Emmcr1,Emmonsia crescens,UAMH 4076,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Onygenales,Ajellomycetaceae,Emmonsia,Emmonsia crescens,Emmcr1
Emmpa1,Emmonsia parva,UAMH 130,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Onygenales,Ajellomycetaceae,Blastomyces,Blastomyces parvus,Emmpa1
Enccu1,Encephalitozoon cuniculi,GB-M1,v1.0,,,fungi,Microsporidia,,,,,Unikaryonidae,Encephalitozoon,Encephalitozoon cuniculi,Enccu1
Enche1,Encephalitozoon hellem,ATCC 50504,v1.0,,,fungi,Microsporidia,,,,,Unikaryonidae,Encephalitozoon,Encephalitozoon hellem,Enche1
Encin1,Encephalitozoon intestinalis,ATCC 50506,v1.0,,,fungi,Microsporidia,,,,,Unikaryonidae,Encephalitozoon,Encephalitozoon intestinalis,Encin1
Encro1,Encephalitozoon romaleae,SJ-2008,v1.0,,,fungi,Microsporidia,,,,,Unikaryonidae,Encephalitozoon,Encephalitozoon romaleae,Encro1
EndpusZ1,Endocarpon pusillum,Z07020,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Chaetothyriomycetidae,Verrucariales,Verrucariaceae,Endocarpon,Endocarpon pusillum,EndpusZ1
Endsp1,Endogone sp. FLAS-F59071,FLAS_59071,v1.0,,,mucoromycota,Mucoromycota,Mucoromycotina,Endogonomycetes,,Endogonales,Endogonaceae,Endogone,Endogone sp. FLAS-F59071,Endsp1
Entbi1,Enterocytozoon bieneusi,H348,v1.0,,,fungi,Microsporidia,,,,,Enterocytozoonidae,Enterocytozoon,Enterocytozoon bieneusi,Entbi1
Entca1,Enterospora canceri,GB1,v1.0,,,fungi,Microsporidia,,,,,Enterocytozoonidae,Enterospora,Enterospora canceri,Entca1
Enthe1,Enterocytozoon hepatopenaei,TH1,v1.0,,,fungi,Microsporidia,,,,,Enterocytozoonidae,Enterocytozoon,Enterocytozoon hepatopenaei,Enthe1
Enthel1,Entophlyctis helioformis,JEL805,v1.0,,,fungi,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,,Chytridiales,Chytriomycetaceae,Entophlyctis,Entophlyctis helioformis,Enthel1
Epityp1,Epithele typhae,CBS 203.58,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Polyporales,Epitheliaceae,Epithele,Epithele typhae,Epityp1
Erebi1,Eremomyces bilateralis,CBS 781.70,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,,Eremomycetales,Eremomycetaceae,Eremomyces,Eremomyces bilateralis,Erebi1
Erecy1,Eremothecium cymbalariae,DBVPG 7215,v1.0,,,dikarya,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Eremothecium,Eremothecium cymbalariae,Erecy1
Eryha1,Erythrobasidium hasegawianum,ATCC 9536,v1.0,,,dikarya,Basidiomycota,Pucciniomycotina,Cystobasidiomycetes,,Erythrobasidiales,Erythrobasidiaceae,Erythrobasidium,Erythrobasidium hasegawianum,Eryha1
Erynec1,Erysiphe necator,c,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Leotiomycetes,,Erysiphales,Erysiphaceae,Erysiphe,Erysiphe necator,Erynec1
Erypu1,Erysiphe pulchra,Cflorida,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Leotiomycetes,,Erysiphales,Erysiphaceae,Erysiphe,Erysiphe pulchra,Erypu1
Escweb1,Escovopsis weberi,CC031208-10,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Hypocreaceae,Escovopsis,Escovopsis weberi,Escweb1
Eurhe1,Eurotium rubrum,,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ruber,Eurhe1
Eutla1,Eutypa lata,UCREL1,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Xylariomycetidae,Xylariales,Diatrypaceae,Eutypa,Eutypa lata,Eutla1
Exigl1,Exidia glandulosa,,v1.0,,,dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Auriculariales,Exidiaceae,Exidia,Exidia glandulosa,Exigl1
Exoaq1,Exophiala aquamarina,CBS 119918,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala aquamarina,Exoaq1
Exode1,Exophiala dermatitidis,UT8656,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala dermatitidis,Exode1
Exomac1,Exobasidium maculosum,A7-4,v1.0,,,dikarya,Basidiomycota,Ustilaginomycotina,Exobasidiomycetes,,Exobasidiales,Exobasidiaceae,Exobasidium,Exobasidium maculosum,Exomac1
Exome1,Exophiala mesophila,CBS 40295,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala mesophila,Exome1
Exool1,Exophiala oligosperma,CBS 72588,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala oligosperma,Exool1
Exosi1,Exophiala sideris,CBS 121828,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala sideris,Exosi1
Exosp1,Exophiala spinifera,CBS 89968,v1.0,,,dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala spinifera,Exosp1
Exova1,Exobasidium vaccinii,MPITM,v1.0,,,dikarya,Basidiomycota,Ustilaginomycotina,Exobasidiomycetes,,Exobasidiales,Exobasidiaceae,Exobasidium,Exobasidium vaccinii,Exova1
